"date_time","priorita"
"2018-04-10 07:40:42","alta"
"2018-04-10 07:42:23","bassa"
"2018-11-13 09:22:19","bassa"
"2018-11-14 10:03:21","bassa"
"2018-11-27 09:15:33","alta"
"2018-12-04 08:55:03","media"
"2018-12-04 08:55:34","bassa"
"2018-12-25 07:45:05","alta"
"2018-12-25 07:47:55","media"
"2018-12-25 07:47:56","alta"
"2018-12-25 07:47:57","alta"
"2018-12-25 07:47:58","bassa"
"2018-12-25 07:47:59","alta"
"2018-12-25 07:48:00","alta"
"2018-12-25 07:48:01","media"
"2018-12-25 07:48:02","media"
"2018-12-25 07:48:03","alta"
"2018-12-25 07:48:04","media"
"2018-12-25 07:48:05","alta"
"2018-12-25 07:48:06","bassa"
"2018-12-25 07:48:07","media"
"2018-12-25 07:48:08","bassa"
"2018-12-25 07:48:09","media"
"2018-12-25 07:48:10","bassa"
"2018-12-25 07:48:14","bassa"
"2018-12-28 09:13:56","alta"
"2018-12-28 09:17:39","media"
"2018-12-28 09:17:49","media"
"2018-12-28 09:17:50","alta"
"2018-12-28 09:17:51","media"
"2018-12-28 09:17:52","media"
"2018-12-28 09:17:53","media"
"2018-12-28 09:17:54","alta"
"2018-12-28 09:17:55","alta"
"2018-12-28 09:17:56","media"
"2018-12-28 09:17:57","alta"
"2018-12-28 09:17:58","alta"
"2018-12-28 09:17:59","media"
"2018-12-28 09:18:00","media"
"2018-12-28 09:18:01","alta"
"2018-12-28 09:18:03","alta"
"2018-12-28 09:18:04","alta"
"2018-12-28 09:18:05","alta"
"2018-12-28 09:18:06","media"
"2018-12-28 09:18:08","alta"
"2018-12-28 09:18:09","bassa"
"2018-12-28 09:18:10","alta"
"2018-12-28 09:18:12","bassa"
"2018-12-28 09:18:13","bassa"
"2018-12-28 09:18:14","bassa"
"2018-12-28 09:18:23","media"
"2018-12-28 09:18:28","media"
"2018-12-28 09:18:29","bassa"
"2018-12-28 09:18:30","media"
"2018-12-28 09:18:31","bassa"
"2018-12-28 09:18:35","media"
"2018-12-29 08:49:19","alta"
"2018-12-29 08:54:18","media"
"2018-12-29 08:54:19","media"
"2018-12-29 08:54:26","bassa"
"2018-12-29 08:54:27","media"
"2018-12-29 08:54:33","bassa"
"2018-12-29 08:54:34","media"
"2018-12-29 08:54:36","bassa"
"2018-12-29 08:55:10","media"
"2018-12-29 08:55:11","bassa"
"2018-12-29 08:55:13","media"
"2018-12-29 08:55:19","media"
"2018-12-29 08:55:25","media"
"2018-12-29 08:55:26","media"
"2018-12-29 08:55:30","media"
"2018-12-31 08:45:11","alta"
"2018-12-31 08:52:56","media"
"2018-12-31 08:53:01","media"
"2018-12-31 08:53:03","media"
"2018-12-31 08:53:04","media"
"2018-12-31 08:53:06","media"
"2018-12-31 08:53:07","alta"
"2018-12-31 08:53:08","alta"
"2018-12-31 08:53:09","alta"
"2018-12-31 08:53:10","alta"
"2018-12-31 08:53:11","alta"
"2018-12-31 08:53:12","alta"
"2018-12-31 08:53:13","alta"
"2018-12-31 08:53:14","media"
"2018-12-31 08:53:15","media"
"2018-12-31 08:53:17","alta"
"2018-12-31 08:53:18","media"
"2018-12-31 08:53:20","alta"
"2018-12-31 08:53:21","alta"
"2018-12-31 08:53:23","bassa"
"2018-12-31 08:53:25","alta"
"2018-12-31 08:53:26","bassa"
"2018-12-31 08:53:27","media"
"2018-12-31 08:53:28","media"
"2018-12-31 08:53:30","bassa"
"2018-12-31 08:53:31","media"
"2018-12-31 08:53:32","alta"
"2018-12-31 08:53:33","media"
"2018-12-31 08:53:35","media"
"2018-12-31 08:53:36","bassa"
"2018-12-31 08:53:37","media"
"2018-12-31 08:53:38","bassa"
"2018-12-31 08:53:39","alta"
"2018-12-31 08:53:40","media"
"2018-12-31 08:53:41","alta"
"2018-12-31 08:53:43","media"
"2018-12-31 08:53:45","media"
"2018-12-31 08:53:46","bassa"
"2018-12-31 08:53:47","media"
"2018-12-31 08:53:48","bassa"
"2018-12-31 08:53:50","media"
"2018-12-31 08:53:51","bassa"
"2018-12-31 08:53:58","media"
"2018-12-31 08:53:59","bassa"
"2019-01-08 10:38:18","media"
"2019-01-08 10:38:19","alta"
"2019-01-08 10:38:20","media"
"2019-01-08 10:38:36","alta"
"2019-01-08 10:38:44","alta"
"2019-01-08 10:38:45","media"
"2019-01-08 10:38:56","alta"
"2019-01-08 10:38:57","media"
"2019-01-08 10:39:00","alta"
"2019-01-08 10:39:01","media"
"2019-01-08 10:39:03","alta"
"2019-01-08 10:39:04","alta"
"2019-01-08 10:39:05","alta"
"2019-01-08 10:39:06","media"
"2019-01-08 10:39:07","alta"
"2019-01-08 10:39:14","alta"
"2019-01-08 10:39:15","media"
"2019-01-08 10:39:17","alta"
"2019-01-08 10:39:20","alta"
"2019-01-08 10:39:22","alta"
"2019-01-08 10:39:23","media"
"2019-01-08 10:39:24","alta"
"2019-01-08 10:39:25","media"
"2019-01-08 10:39:26","media"
"2019-01-08 10:39:39","media"
"2019-01-08 10:39:40","alta"
"2019-01-08 10:39:42","media"
"2019-01-08 10:39:44","media"
"2019-01-08 10:39:45","media"
"2019-01-08 10:39:46","alta"
"2019-01-08 10:39:47","media"
"2019-01-08 10:39:48","alta"
"2019-01-08 10:39:49","alta"
"2019-01-08 10:39:50","alta"
"2019-01-08 10:39:53","media"
"2019-01-08 10:39:55","media"
"2019-01-08 10:39:57","media"
"2019-01-08 10:39:58","media"
"2019-01-08 10:39:59","media"
"2019-01-08 10:40:00","media"
"2019-01-08 10:40:01","media"
"2019-01-08 10:40:02","alta"
"2019-01-08 10:40:03","media"
"2019-01-08 10:40:04","alta"
"2019-01-08 10:40:05","alta"
"2019-01-08 10:40:06","alta"
"2019-01-08 10:40:07","alta"
"2019-01-08 10:40:08","media"
"2019-01-08 10:40:10","alta"
"2019-01-08 10:40:18","alta"
"2019-01-08 10:40:19","alta"
"2019-01-08 10:40:20","media"
"2019-01-08 10:40:21","alta"
"2019-01-08 10:41:01","bassa"
"2019-01-08 10:41:02","media"
"2019-01-08 10:41:04","bassa"
